Prefectures,tx,ty,tz
Hokkaido,-3644727.217,2915077.832,4332712.754
Aomori,-3742384.011,3058745.333,4147689.563
Iwate,-3826953.568,3082176.783,4052721.437
Miyagi,-3889546.663,3164113.013,3928920.148
Akita,-3769013.933,3151105.384,4054002.617
Yamagata,-3862805.642,3199757.140,3926450.749
Fukushima,-3894484.743,3214045.430,3883540.629
Ibaraki,-3965913.205,3275451.154,3758771.835
Tochigi,-3922216.843,3304731.311,3778804.292
Gunma,-3883064.771,3368265.520,3763214.539
Saitama,-3944059.803,3350859.141,3715338.025
Chiba,-3984212.865,3328563.482,3692620.820
Tokyo,-3954845.494,3354941.516,3700259.381
Kanagawa,-3963849.476,3368433.619,3678449.647
Niigata,-3804421.944,3304382.185,3896885.876
Toyama,-3757588.232,3478177.594,3790332.322
Ishikawa,-3726684.067,3521002.062,3781353.769
Fukui,-3726904.878,3571234.755,3734049.318
Yamanashi,-3889552.265,3432924.428,3697956.573
Nagano,-3818082.645,3416025.644,3786425.888
Gifu,-3789745.205,3568501.381,3673325.817
Shizuoka,-3911373.017,3474748.013,3635770.990
Aichi,-3811080.307,3565513.794,3654232.419
Mie,-3806967.823,3611590.461,3613315.751
Shiga,-3753891.743,3641799.847,3638270.393
Kyoto,-3745943.747,3648428.437,3639810.522
Osaka,-3746066.118,3678679.415,3609313.177
Hyogo,-3724144.284,3700422.714,3609769.261
Nara,-3766142.526,3658223.599,3609211.923
Wakayama,-3743849.618,3722023.625,3567212.029
Tottori,-3626480.970,3724204.157,3683494.048
Shimane,-3549882.859,3800054.758,3680658.296
Okayama,-3643963.258,3782011.365,3607057.901
Hiroshima,-3556626.579,3886897.374,3582813.957
Yamaguchi,-3497787.250,3957509.492,3563516.809
Tokushima,-3711141.063,3768656.021,3552497.899
Kagawa,-3665146.456,3789630.748,3577676.319
Ehime,-3600815.065,3893143.161,3531873.360
Kochi,-3664424.058,3857300.519,3505855.857
Fukuoka,-3447684.616,4048429.585,3510168.236
Saga,-3453362.729,4072225.487,3477127.224
Nagasaki,-3442584.844,4121141.088,3430180.674
Kumamoto,-3502861.922,4066466.773,3434377.080
Oita,-3546269.647,3992504.893,3476071.636
Miyazaki,-3585525.489,4063563.478,3352068.464
Kagoshima,-3537016.227,4132826.258,3318984.024
Okinawa,-3500087.220,4531670.723,2800202.883